Rank,Brand,Score,Intent_Level,Recommended_Action,Top_Reasons,Suggested_Outreach_Angle,Missing_Information,Evidence_Sources
1,Brooklinen,85,High,Contact Immediately,"many recent, well-documented complaints about returns/refunds | a relevant leadership change (CX Head/COO/CTO/Founder) in roughly the last 12 months | using a competitor's tool, but customers are still complaining - it's not working for them","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Trustpilot: https://www.trustpilot.com/review/www.brooklinen.com | BBB: https://www.bbb.org/us/ny/brooklyn/profile/linens/brooklinen-inc-0121-163344/complaints | CEO: https://www.retaildive.com/news/brooklinen-open-washington-dc-logan-circle-store/705711/
2,Manscaped,75,High,Contact Immediately,"many recent, well-documented complaints about returns/refunds | a relevant leadership change (CX Head/COO/CTO/Founder) in roughly the last 12 months | no returns software in place - doing it manually","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,BBB: https://www.bbb.org/us/ca/carlsbad/profile/hygiene-products/manscaped-1126-172020684/complaints | Trustpilot: https://www.trustpilot.com/review/manscaped.com
3,Rothy's,65,High,Contact Immediately,"many recent, well-documented complaints about returns/refunds | a relevant leadership change (CX Head/COO/CTO/Founder) in roughly the last 12 months | using a competitor's tool, and customers seem happy with it","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Trustpilot: https://www.trustpilot.com/review/rothys.com | Loop: https://loopreturns.com/happy-returns
4,Blueland,65,High,Contact Immediately,"some recent complaints about returns/refunds | a relevant leadership change (CX Head/COO/CTO/Founder) in roughly the last 12 months | using a competitor's tool, but customers are still complaining - it's not working for them","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Returns: https://returns.blueland.com/ | Trustpilot analysis: https://www.aftership.com/brands/blueland.com | C-suite hires: https://www.inc.com/blueland-ceo-sarah-paiji-yoo | Director of CX role (closed): https://jobs.preludegrowth.com/companies/blueland
5,True Classic,65,High,Contact Immediately,"some recent complaints about returns/refunds | a relevant leadership change (CX Head/COO/CTO/Founder) in roughly the last 12 months | using a competitor's tool, but customers are still complaining - it's not working for them","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Trustpilot: https://www.trustpilot.com/review/trueclassictees.com | Return policy: https://thereturnguide.com/blogs/retail-store-returns/true-classic-return-policy
6,Kosas,60,High,Contact Immediately,"many recent, well-documented complaints about returns/refunds | using a competitor's tool, but customers are still complaining - it's not working for them | growing fast, which adds more pressure on returns","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Trustpilot: https://www.trustpilot.com/review/kosas.com | Tech stack: https://www.aftership.com/brands/kosas.com
7,Native Document,60,High,Contact Immediately,"many recent, well-documented complaints about returns/refunds | using a competitor's tool, but customers are still complaining - it's not working for them | growing fast, which adds more pressure on returns","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Trustpilot: https://ca.trustpilot.com/review/nativecos.com | PissedConsumer: https://native-deodorant.pissedconsumer.com/review.html
8,Tushy,60,High,Contact Immediately,"many recent, well-documented complaints about returns/refunds | using a competitor's tool, but customers are still complaining - it's not working for them | growing fast, which adds more pressure on returns","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,PissedConsumer: https://tushy.pissedconsumer.com/review.html | BBB: https://www.bbb.org/us/ny/brooklyn/profile/toilet-seats/tushy-llc-0121-176509/complaints | Trustpilot: https://www.trustpilot.com/review/hellotushy.com
9,Parade Underwear,60,High,Contact Immediately,"many recent, well-documented complaints about returns/refunds | using a competitor's tool, but customers are still complaining - it's not working for them | growing fast, which adds more pressure on returns","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Trustpilot: https://www.trustpilot.com/review/yourparade.com | Returns policy: https://yourparade.com/pages/returns | Review summary: https://your-parade.tenereteam.com/
10,Chubbies,55,High,Contact Immediately,"many recent, well-documented complaints about returns/refunds | using a competitor's tool, but customers are still complaining - it's not working for them","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,TrustPilot: https://www.trustpilot.com/review/chubbiesshorts.com | BBB: https://www.bbb.org/us/ca/san-francisco-/profile/online-retailer/chubbies-shorts-1116-919827/complaints | Loop: https://loopreturns.com/case-studies/case-study-loop-chubbies
11,Outdoor Voices,55,High,Contact Immediately,"many recent, well-documented complaints about returns/refunds | using a competitor's tool, but customers are still complaining - it's not working for them","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Returns: https://returns.outdoorvoices.com/ | Founder return: https://www.tbpndigest.com/story/2025-07-29/outdoor-voices-founder-ty-haney-returns-as-ceo-five-years-after-ouster-integrates-tyb-loyalty-platform-at-launch | Hiring check: https://www.builtinaustin.com/company/outdoor-voices | https://wellfound.com/company/outdoor-voices/jobs
12,Solo Stove,50,Medium,Good Prospect,"many recent, well-documented complaints about returns/refunds | no returns software in place - doing it manually","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Trustpilot: https://trustpilot.com/review/solostove.com | Returns page: https://www.solostove.com/en-us/shipping-returns | SEC: https://www.stocktitan.net/sec-filings/SBDS/10-k-solo-brands-inc-files-annual-report-4b9093a799fe.html
13,Caraway,50,Medium,Good Prospect,"many recent, well-documented complaints about returns/refunds | no returns software in place - doing it manually","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,BBB: https://www.bbb.org/us/ny/new-york/profile/home-accessories/caraway-home-inc-0121-87153437/complaints | Trustpilot: https://www.trustpilot.com/review/www.carawayhome.com
14,Our Place,50,Medium,Good Prospect,"many recent, well-documented complaints about returns/refunds | no returns software in place - doing it manually","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,BBB: https://www.bbb.org/us/ca/culver-city/profile/online-shopping/our-place-1216-1296769/complaints | Trustpilot UK: https://uk.trustpilot.com/review/fromourplace.co.uk | Trustpilot CA: https://ca.trustpilot.com/review/fromourplace.com
15,Jones Road Beauty,45,Medium,Good Prospect,"some recent complaints about returns/refunds | using a competitor's tool, but customers are still complaining - it's not working for them | growing fast, which adds more pressure on returns","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Loop case study: https://loopreturns.com/case-studies/case-study-loop-jones-road-beauty | Trustpilot: https://trustpilot.com/review/jonesroadbeauty.com
16,Vuori,40,Medium,Good Prospect,"many recent, well-documented complaints about returns/refunds | growing fast, which adds more pressure on returns","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",Current returns vendor,"Trustpilot: https://www.trustpilot.com/review/vuoriclothing.com | BBB: https://www.bbb.org/us/ca/carlsbad/profile/clothing/vuori | Exec hire: retailtechinnovationhub.com, April 2026"
17,Ridge Wallet,40,Medium,Good Prospect,"some recent complaints about returns/refunds | using a competitor's tool, but customers are still complaining - it's not working for them","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Trustpilot: https://www.trustpilot.com/review/ridgewallet.com
18,Beardbrand,20,Low,Monitor,"no returns software in place - doing it manually | growing fast, which adds more pressure on returns",Lead with the cost of staying manual - no returns platform means real revenue is likely leaking through slow refunds and support load.,None - fully researched,Trustpilot: https://www.trustpilot.com/review/beardbrand.com | Judge.me: https://judge.me/reviews/stores/beardbrand.com
19,Magic Spoon,10,Low,Monitor,"a few complaints, but not a clear pattern","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.","Hiring postings, Leadership hire, Growth/expansion, Current returns vendor",Trustpilot: https://www.trustpilot.com/review/magicspoon.com
20,Feastables,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Hiring postings, Leadership hire, Growth/expansion",No sources logged
21,Olipop,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Hiring postings, Leadership hire",Return policy: https://drinkolipop.com/pages/satisfactionguarantee | Growth: https://www.fastcompany.com/91524233/the-future-of-functional-beverages
22,Liquid Death,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Complaints, Hiring postings, Leadership hire, Current returns vendor",No sources logged
23,Poppi,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Hiring postings, Leadership hire, Growth/expansion",Settlement: https://www.wcnc.com/article/news/nation-world/poppi-class-action-settlement-how-to-file-a-claim/507-b68ab011-22ac-4bc3-8624-07fa4d9c8f07
24,Graza,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Hiring postings, Leadership hire, Growth/expansion",No sources logged
25,Momofuku Goods,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Hiring postings, Leadership hire, Growth/expansion",Reviews: https://thingtesting.com/brands/momofuku/reviews | FAQ: https://shop.momofuku.com/pages/faq
